"date","abbrev","population","unemployment","bachelors","rgdp_2017","state","legal","legal.year","retailyear","onlineyear","online","retail","tribalonly","notes"
2006,"AK",675.302,6.6,26.9,47546.2,"Alaska",0,NA,NA,NA,0,0,0,""
2006,"AL",4628.981,4,21.1,199923.9,"Alabama",0,NA,NA,NA,0,0,0,""
2006,"AR",2821.761,5.2,18.2,114890.4,"Arkansas",1,2018,2019,2022,1,1,0,""
2006,"AZ",6029.141,4.3,25.5,296424.4,"Arizona",1,2021,2021,2021,1,1,0,""
2006,"CA",36021.202,4.9,29,2120435.4,"California",0,NA,NA,NA,0,0,0,""
2006,"CO",4720.423,4.3,34.3,268190.8,"Colorado",1,2019,2020,2020,1,1,0,""
2006,"CT",3517.46,4.4,33.7,269478.6,"Connecticut",1,2021,2021,2021,1,1,0,""
2006,"DE",859.268,3.6,27,68411.8,"Delaware",1,2018,2018,2018,1,1,0,""
2006,"FL",18166.99,3.3,25.3,909298.9,"Florida",1,2021,2023,2023,1,1,0,"lawsuit in 2021 that shut down operations"
2006,"GA",9155.813,4.7,26.6,487524.9,"Georgia",0,NA,NA,NA,0,0,0,""
2006,"HI",1309.731,2.6,29.7,74893,"Hawaii",0,NA,NA,NA,0,0,0,""
2006,"IA",2982.644,3.7,24,155704.5,"Iowa",1,2019,2019,2019,1,1,0,""
2006,"ID",1468.669,3.4,23.3,60738.6,"Idaho",0,NA,NA,NA,0,0,0,""
2006,"IL",12643.955,4.6,28.9,759825.7,"Illinois",1,2019,2020,2020,1,1,0,""
2006,"IN",6332.669,5,21.7,312525.6,"Indiana",1,2019,2019,2019,1,1,0,""
2006,"KS",2762.931,4.4,28.6,136135.8,"Kansas",1,2022,2022,2022,1,1,0,""
2006,"KY",4219.239,5.7,20,186332.7,"Kentucky",1,2023,2023,2023,1,1,0,""
2006,"LA",4302.665,4.1,20.3,247139.7,"Louisiana",1,2021,2021,2022,1,1,0,""
2006,"MA",6410.084,4.7,37,426926.1,"Massachusetts",1,2022,2023,2023,1,1,0,""
2006,"MD",5627.367,3.9,35.1,329874,"Maryland",1,2021,2021,2021,1,1,0,""
2006,"ME",1323.619,4.7,25.8,59986,"Maine",1,2022,2023,2023,1,1,0,""
2006,"MI",10036.081,6.9,24.5,483763.6,"Michigan",1,2019,2020,2021,1,1,0,""
2006,"MN",5163.555,4.1,30.4,302272.7,"Minnesota",0,NA,NA,NA,0,0,0,""
2006,"MO",5842.704,4.9,24.3,286558.3,"Missouri",0,NA,NA,NA,0,0,0,""
