"SQINC1 State quarterly personal income summary: personal income, population, per capita personal income"
"SQINC1 State quarterly personal income summary: personal income, population, per capita personal income"
State or DC
GeoFips,GeoName,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4
00000,United States,39803,40457,40779,41164,42230,42501,42865,42974,43757,44077,43837,45249,43992,44352,44525,44700,45399,46050,46560,47103,47602,47976,48238,48402,48552,48713,49090,49528,50203,50716,51211,51883,52443,52986,53632,54170,55035,55393,55683,56118,56588,60853,59733,59262,66732,63322,63583,64046,64672,65447,66644,67527,68383,69157,69709,70340,71763,72268,72537,73251
01000,Alabama,33177,33727,34212,34277,34726,34753,34977,35050,35379,35611,35191,36030,35586,35710,35882,35637,35955,36531,36954,37418,37799,38115,38415,38397,38485,38613,38714,38983,39519,39827,40031,40456,40825,41094,41404,41938,42579,42884,43118,43372,43931,47828,45958,45695,53279,49218,49439,50005,50570,51115,52080,52798,53411,53847,54308,54869,55930,56395,56893,57551
02000,Alaska *,48664,49378,49990,50333,51311,52099,52784,53434,53209,53429,53064,53682,52153,52047,52498,52547,54139,54926,55315,55905,56615,56770,56699,56642,55434,55408,55570,55928,55856,56091,56794,57341,58076,58490,59483,59869,60094,60354,60680,60820,60261,64390,61242,61374,68068,64581,64549,65317,67362,68527,69367,70276,69651,70925,71981,72593,74604,74705,75469,76299
04000,Arizona,33223,33666,33941,34260,34975,35111,35345,35548,36021,36298,35978,37134,36518,36891,37038,37139,37710,38043,38394,38878,39480,39848,39884,40269,40598,41011,41424,41646,42500,42930,43572,43934,44628,44961,45539,45981,47035,47498,47930,48336,48912,54111,53116,52106,59129,55608,56116,56952,57586,58310,59350,60255,61276,62190,62408,62804,64225,64432,64364,64904
05000,Arkansas,31432,32154,32635,32661,33850,33838,34346,34712,35788,36251,35854,37258,36159,36268,36413,36279,37348,38098,38371,39015,38777,39068,39471,39722,39817,40075,40228,40580,41059,41182,41383,41990,42434,42762,43230,43670,43223,43473,43940,44263,44862,49385,47045,47077,54909,51848,52130,52544,53663,54518,55969,57031,57509,57487,57548,57880,58869,59158,60090,60549
06000,California,42376,43018,43073,44035,45195,45315,45768,45726,46904,47372,47201,49642,47185,47929,48295,48832,49400,50205,51089,51735,52906,53680,54124,54562,55214,55473,56109,56653,57201,57836,58497,59342,59735,60612,61457,62167,63291,63964,64328,65254,66306,70480,72352,71343,78893,75699,76393,76196,75600,75859,77083,78356,79505,80520,81150,81691,84393,85201,85808,86834
08000,Colorado,40012,40438,40986,41839,43230,43588,44063,44048,44926,45242,44893,46854,46280,46902,47345,47774,49185,50019,50474,51187,51282,51554,51406,51393,50857,50964,51438,52031,52994,53762,54413,55465,56452,57262,58297,59236,60763,60992,61643,61711,63076,65940,64733,65028,72630,70045,71253,72734,74597,75342,78441,77705,78580,79551,79948,80840,82080,82838,82634,83374
09000,Connecticut,60402,61584,61834,61780,62209,63162,63434,63042,63054,63547,62730,64896,61739,61822,62079,62330,63313,64071,64812,65753,65553,66018,66329,66960,67327,67493,67551,67754,68111,68829,69307,70260,71081,71679,72868,73045,73957,74045,73961,74641,74054,77771,77223,76865,83235,80768,81051,81909,83094,83650,85572,86626,87884,89029,89592,90596,92496,93030,93408,94192
10000,Delaware,40348,40739,41410,41850,43339,43684,44003,44059,43533,43818,43254,44423,43347,43931,44022,44424,44657,45280,45629,45825,46764,47379,47224,47573,47474,48000,48385,48846,49408,49555,50278,50673,51725,52313,53075,53504,53520,53795,53917,53801,54275,57283,55562,54712,62987,58257,58107,59078,61737,63344,64766,65680,65784,66470,66815,67135,68349,69390,69317,70141
11000,District of Columbia,62044,62957,63465,64195,66550,66808,67321,67185,67609,67644,66580,68176,66992,67174,67003,67316,69493,70230,70974,71274,74281,74863,75010,75095,76752,77358,77615,78293,78645,79136,79983,80599,80946,81715,83021,83549,83116,83648,83777,84046,84590,91149,92435,91106,99053,97405,97366,96593,98419,99219,100848,101891,104040,105699,105600,106379,107908,108577,108103,108848
