SQGDP1 State quarterly gross domestic product (GDP) summary
SQGDP1 State quarterly gross domestic product (GDP) summary
State or DC
GeoFips,GeoName,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,2022:Q1,2022:Q2,2022:Q3,2022:Q4,2023:Q1,2023:Q2,2023:Q3,2023:Q4,2024:Q1,2024:Q2,2024:Q3,2024:Q4
00000,United States,12767286.0,12922656.0,13142642.0,13324204.0,13599160.0,13753424.0,13870188.0,14039560.0,14215651.0,14402082.0,14564117.0,14715058.0,14706538.0,14865701.0,14898999.0,14608209.0,14430902.0,14381236.0,14448882.0,14651249.0,14764610.0,14980193.0,15141607.0,15309474.0,15351448.0,15557539.0,15647680.0,15842259.0,16068805.0,16207115.0,16319541.0,16420419.0,16648189.0,16728687.0,16953838.0,17192019.0,17197738.0,17518508.0,17804228.0,17912079.0,18063529.0,18279784.0,18401626.0,18435137.0,18525933.0,18711702.0,18892639.0,19089379.0,19280084.0,19438643.0,19692595.0,20037088.0,20328553.0,20580912.0,20798730.0,20917867.0,21111600.0,21397938.0,21717171.0,21933217.0,21727657.0,19935444.0,21684551.0,22068767.0,22656793.0,23368861.0,23921991.0,24777038.0,25215491.0,25805791.0,26272011.0,26734277.0,27164359.0,27453815.0,27967697.0,28296967.0,28624069.0,29016714.0,29374914.0,29723864.0
01000,Alabama,155647.0,157994.9,158924.5,162142.8,163613.4,165663.2,166857.0,168059.3,169068.2,171632.2,173705.1,174582.5,174345.5,175917.8,176078.5,172320.4,170336.2,170148.0,170871.6,172150.0,173109.4,176268.0,180096.6,180569.0,179875.7,181660.2,183751.1,186299.8,187413.6,189100.7,188049.1,188559.5,193119.0,192936.0,195099.9,194771.3,192853.7,196536.8,199021.2,199845.9,200030.7,202898.3,204848.2,204676.1,205783.7,208578.1,209418.5,211516.7,214141.7,215066.6,216841.7,220411.9,223670.1,225398.8,226627.4,229358.8,231258.9,233386.0,236371.8,238176.2,237604.9,219394.4,241205.6,243096.4,251540.7,257209.0,261417.8,269906.3,274846.2,281675.9,288237.6,295036.9,299305.3,301828.8,307124.0,311484.2,313790.1,318080.0,324077.8,329002.4
02000,Alaska,37932.4,39329.4,41031.8,43546.1,43218.9,44835.2,45551.5,46201.3,46926.2,49162.3,50133.2,51603.7,52932.2,56305.4,57918.7,53830.5,51078.0,49645.2,49133.7,50806.7,52099.5,53222.9,54340.2,54953.2,54656.9,56987.5,57092.0,58912.8,58428.1,58601.3,58417.5,57835.7,58115.4,56886.2,58175.3,56954.9,57124.3,57404.2,56794.9,55026.2,52214.6,52180.8,51256.2,50645.2,50122.5,50897.0,51346.5,52121.2,53091.3,53127.9,53782.4,54202.1,54542.5,54573.2,55020.0,54912.1,54034.3,54126.1,54946.3,55091.6,53691.9,47521.3,50687.7,53232.9,55409.4,57337.1,59618.8,63408.9,63214.7,67637.8,67434.4,66800.4,66726.3,67068.1,68989.7,69440.0,69272.8,69794.2,70140.8,70668.1
04000,Arizona,220892.2,225718.7,231489.8,233890.5,240362.8,242853.0,247804.0,253224.7,256254.0,259988.8,264140.6,264227.7,263435.1,263506.1,261970.7,255111.3,248017.6,243548.2,241905.2,245977.7,245084.1,249000.6,252194.6,255828.8,256928.8,259481.0,262353.0,268002.9,270794.5,273041.3,272876.8,274100.7,276709.1,277043.0,279109.7,281856.2,282611.0,285199.2,288861.6,290032.1,295072.6,298457.0,299046.2,303192.8,305993.3,311999.0,317178.2,319977.9,326382.8,329260.6,336133.0,340619.6,348063.1,351465.3,355997.6,359158.0,363813.7,370964.5,380142.1,386586.3,385783.8,365814.5,396348.7,407879.7,415366.3,428550.5,442117.7,461079.9,466632.2,479134.3,489255.8,501186.6,510987.1,519029.9,527051.4,534000.5,541058.4,548806.1,555613.6,563190.1
05000,Arkansas,89475.9,90098.5,91235.2,93724.1,94677.2,96487.2,96653.5,96476.8,95551.1,96759.4,97450.9,103538.5,98674.4,101145.7,101437.7,99568.8,100448.5,96074.8,96663.2,97949.2,98742.1,101375.0,103139.5,103540.8,104107.1,105184.8,106067.4,107431.4,108301.1,108801.4,109062.2,109179.2,113120.7,113185.1,114644.1,115134.3,115716.2,117154.6,118093.3,118590.7,117239.6,118181.1,119369.1,119504.5,119790.4,120660.0,120881.5,122617.8,122597.7,122980.3,123836.0,126116.3,127995.0,128832.8,129763.4,130263.9,130559.9,131390.8,133458.5,135094.0,135091.2,128661.4,139583.3,141457.5,146735.4,153307.7,155813.7,160353.0,162939.4,166445.8,170551.9,174486.0,176972.9,176937.3,179238.5,181276.9,184600.9,186196.7,190229.5,193865.1
06000,California,1657672.4,1682374.6,1716355.1,1739031.4,1788491.4,1797782.8,1820881.2,1841491.1,1849762.4,1883271.5,1916104.0,1951743.6,1925220.1,1966926.4,1977677.1,1915142.3,1904208.6,1871514.0,1865232.8,1878282.7,1902238.8,1921530.7,1939022.4,1991621.1,1992227.9,2012221.2,2019840.5,2031911.6,2071169.3,2091301.8,2114752.4,2158269.0,2163927.3,2193808.5,2233104.9,2302362.9,2283403.6,2323047.3,2375055.1,2387369.2,2446644.5,2489234.8,2503898.3,2508848.0,2549498.6,2562614.1,2604514.8,2629313.2,2667089.6,2710240.8,2763960.2,2820910.5,2839717.0,2885169.0,2924444.5,2948793.0,2987644.2,3047883.1,3096476.8,3142514.6,3118522.7,2871237.9,3126987.5,3190272.4,3279904.9,3376467.2,3465519.5,3573941.6,3591071.1,3641685.3,3688897.5,3720008.9,3808244.2,3836679.8,3900426.7,3936165.1,4027204.4,4080178.3,4132221.0,4172890.6
08000,Colorado,217196.2,219530.3,222921.4,223567.2,230114.6,230467.3,235190.9,235641.8,241337.5,246399.8,250125.2,256423.7,255071.2,260515.1,261042.0,253796.2,251438.6,247071.8,249080.1,251677.9,253011.7,253830.2,257095.3,263150.0,262770.6,265649.4,266950.4,269086.0,271658.8,274108.0,274725.3,278463.1,286265.6,288163.8,293415.5,297216.5,300579.6,306942.6,312478.8,316894.6,316528.2,320672.5,322325.0,324057.7,321716.2,326570.0,333710.3,340267.2,343084.0,345193.2,352060.8,360498.5,370840.7,372124.1,374198.7,378528.8,386187.3,394703.4,404317.5,406166.1,406111.1,371324.1,401438.2,408094.0,425032.6,438425.6,450912.8,468971.7,480412.5,489395.7,500522.6,508360.3,516669.8,526218.4,534620.5,540997.3,542411.2,550173.1,557307.8,563398.0
09000,Connecticut,201215.4,203210.6,204667.9,208924.6,217713.4,218324.8,219708.3,223502.3,232494.2,232599.2,233465.9,231948.1,244002.2,240474.8,234662.9,225303.1,232264.2,230126.8,230758.2,233362.7,231840.3,234721.6,235412.5,234114.2,229670.9,233279.5,233647.9,235636.7,238091.7,239658.7,240098.9,241780.7,239586.4,238539.6,241281.4,242789.4,240350.9,244770.7,249248.1,254089.1,258129.9,261221.6,261225.7,262017.0,262609.8,263841.9,264733.1,267856.8,268499.8,273048.0,275577.5,278375.1,279414.2,278529.0,282955.4,281242.9,281551.6,284597.2,287863.7,291795.0,283402.3,260540.2,282166.9,286008.3,286159.6,294832.5,299695.1,306518.2,312169.4,317151.8,324171.7,333252.8,336536.4,343415.6,348449.3,355246.3,358593.5,363416.8,368321.1,372560.8
10000,Delaware,51012.8,50092.6,50324.0,56765.1,54545.2,56187.2,56066.0,55472.3,56278.2,57829.1,56649.2,56066.1,55215.6,55522.4,55643.7,54621.4,57178.2,58070.0,58390.6,57280.6,58144.3,57444.5,57970.6,58969.3,59881.1,61183.1,62215.1,62238.3,63015.4,62801.0,62281.1,61271.0,60662.7,61067.6,61794.4,64708.1,65406.7,68232.0,70139.7,70645.8,72253.0,73889.3,71895.8,71371.8,69664.1,70256.5,69944.3,70220.9,70090.6,68590.5,69557.6,69983.8,71324.3,72466.0,74426.0,75287.8,76626.4,78302.7,79718.4,80194.7,78724.7,73674.4,78757.4,78924.7,80569.7,82038.2,83526.9,86144.6,89732.9,91557.7,93399.9,95542.2,95301.8,97505.3,99284.1,100183.8,100917.7,102400.8,103996.2,105698.4
11000,District of Columbia,84127.4,85403.7,85796.0,86331.1,87197.2,87811.7,89430.2,88964.5,91091.8,92526.3,96105.4,96331.9,98559.1,98715.2,99571.9,100115.2,99386.9,100488.9,100494.6,101350.1,103674.1,105977.4,106752.3,108110.7,108809.6,109864.1,110705.3,110436.4,111450.9,112761.1,113058.1,112780.5,114171.2,113902.5,114710.1,116547.2,118195.8,119005.4,120806.8,121984.0,123514.2,124862.0,124956.3,125681.7,128386.0,129736.7,130068.8,131542.4,131615.9,132941.6,136223.5,136414.0,138424.3,140553.6,142964.1,143018.7,142596.3,144106.2,145891.9,147691.3,148048.2,141009.0,146984.5,150598.7,151060.1,155373.5,158546.6,161169.8,163585.0,164354.7,166302.8,168831.0,171744.6,176310.8,177413.9,180537.3,182189.9,184915.6,187350.6,190204.0
