state,legal,legal year,retailyear,onlineyear,online,retail,tribalonly,notes
Alabama,0,NA,NA,NA,0,0,0,
Alaska,0,NA,NA,NA,0,0,0,
Arizona,1,2021,2021,2021,1,1,0,
Arkansas,1,2018,2019,2022,1,1,0,
California,0,NA,NA,NA,0,0,0,
Colorado,1,2019,2020,2020,1,1,0,
Connecticut,1,2021,2021,2021,1,1,0,
Delaware,1,2018,2018,2018,1,1,0,
Florida,1,2021,2023,2023,1,1,0,lawsuit in 2021 that shut down operations
Georgia,0,NA,NA,NA,0,0,0,
Hawaii,0,NA,NA,NA,0,0,0,
Idaho,0,NA,NA,NA,0,0,0,
Illinois,1,2019,2020,2020,1,1,0,
Indiana,1,2019,2019,2019,1,1,0,
Iowa,1,2019,2019,2019,1,1,0,
Kansas,1,2022,2022,2022,1,1,0,
Kentucky,1,2023,2023,2023,1,1,0,
Louisiana,1,2021,2021,2022,1,1,0,
Maine,1,2022,2023,2023,1,1,0,
Maryland,1,2021,2021,2021,1,1,0,
Massachusetts,1,2022,2023,2023,1,1,0,
Michigan,1,2019,2020,2021,1,1,0,
Minnesota,0,NA,NA,NA,0,0,0,
Mississippi,1,2017,2017,NA,0,1,0,
Missouri,0,NA,NA,NA,0,0,0,
Montana,1,2019,2019,NA,0,1,0,
Nebraska,1,2021,2021,NA,0,1,0,
Nevada,1,1949,1949,2010,1,1,0,
New Hampshire,1,2019,2019,2019,1,1,0,
New Jersey,1,2018,2018,2018,1,1,0,
New Mexico,1,2018,2018,NA,0,1,1,
New York,1,2013,2019,2022,1,1,0,https://www.deucescracked.com/ny-sports-betting-guide-getting-started-2025-update/
North Carolina,1,2019,2019,2023,1,1,0,retail is tribal
North Dakota,1,2018,2018,2018,0,1,1,
Ohio,1,2021,2021,2021,1,1,0,
Oklahoma,0,NA,NA,NA,0,0,0,
Oregon,1,2019,2019,2019,1,1,0,
Pennsylvania,1,2017,2017,2017,1,1,0,
Rhode Island,1,2018,2018,2019,1,1,0,
South Carolina,0,NA,NA,NA,0,0,0,
South Dakota,1,2021,2021,NA,0,1,0,
Tennessee,1,2019,NA,2019,1,0,0,
Texas,0,NA,NA,NA,0,0,0,
Utah,0,NA,NA,NA,0,0,0,
Vermont,1,2023,NA,2023,1,0,0,
Virginia,1,2020,2020,2020,1,1,0,
Washington,1,2020,2020,NA,0,1,1,tribal-only
West Virginia,1,2018,2018,2018,1,1,0,
Wisconsin,1,2021,2021,NA,0,1,1,tribal-only
Wyoming,1,2021,2021,2021,1,1,0,
