"date","state","value"
2006-01-01,"AL",21.1
2007-01-01,"AL",21.4
2008-01-01,"AL",22
2009-01-01,"AL",22
2010-01-01,"AL",21.9
2011-01-01,"AL",22.3
2012-01-01,"AL",23.3
2013-01-01,"AL",23.5
2014-01-01,"AL",23.5
2015-01-01,"AL",24.2
2016-01-01,"AL",24.7
2017-01-01,"AL",25.5
2018-01-01,"AL",25.5
2019-01-01,"AL",26.3
2020-01-01,"AL",27.8
2021-01-01,"AL",27.4
2022-01-01,"AL",28.8
2023-01-01,"AL",28.9
2006-01-01,"AK",26.9
2007-01-01,"AK",26
2008-01-01,"AK",27.3
2009-01-01,"AK",26.6
2010-01-01,"AK",27.9
2011-01-01,"AK",26.4
2012-01-01,"AK",28
2013-01-01,"AK",28
2014-01-01,"AK",28
2015-01-01,"AK",29.7
2016-01-01,"AK",29.6
2017-01-01,"AK",28.8
2018-01-01,"AK",30.2
2019-01-01,"AK",30.2
2020-01-01,"AK",31.9
2021-01-01,"AK",32.8
2022-01-01,"AK",30.6
2023-01-01,"AK",32.2
2006-01-01,"AZ",25.5
2007-01-01,"AZ",25.3
2008-01-01,"AZ",25.1
2009-01-01,"AZ",25.6
2010-01-01,"AZ",25.9
2011-01-01,"AZ",26.6
2012-01-01,"AZ",27.3
2013-01-01,"AZ",27.4
2014-01-01,"AZ",27.6
2015-01-01,"AZ",27.7
2016-01-01,"AZ",28.9
2017-01-01,"AZ",29.4
2018-01-01,"AZ",29.7
2019-01-01,"AZ",30.2
2020-01-01,"AZ",33
2021-01-01,"AZ",32.4
2022-01-01,"AZ",33
2023-01-01,"AZ",33.5
2006-01-01,"AR",18.2
2007-01-01,"AR",19.3
2008-01-01,"AR",18.8
2009-01-01,"AR",18.9
2010-01-01,"AR",19.5
2011-01-01,"AR",20.3
2012-01-01,"AR",21
2013-01-01,"AR",20.6
2014-01-01,"AR",21.4
2015-01-01,"AR",21.8
2016-01-01,"AR",22.4
2017-01-01,"AR",23.4
2018-01-01,"AR",23.3
2019-01-01,"AR",23.3
2020-01-01,"AR",24.9
2021-01-01,"AR",25.3
2022-01-01,"AR",25.4
2023-01-01,"AR",26.2
2006-01-01,"CA",29
2007-01-01,"CA",29.5
2008-01-01,"CA",29.6
2009-01-01,"CA",29.9
2010-01-01,"CA",30.1
2011-01-01,"CA",30.3
2012-01-01,"CA",30.9
2013-01-01,"CA",31
2014-01-01,"CA",31.7
2015-01-01,"CA",32.3
2016-01-01,"CA",32.9
2017-01-01,"CA",33.6
2018-01-01,"CA",34.2
2019-01-01,"CA",35
2020-01-01,"CA",36.9
2021-01-01,"CA",36.2
2022-01-01,"CA",37
2023-01-01,"CA",37.5
2006-01-01,"CO",34.3
