"date","state","value"
1900-01-01,"AL",1830
1901-01-01,"AL",1907
1902-01-01,"AL",1935
1903-01-01,"AL",1957
1904-01-01,"AL",1978
1905-01-01,"AL",2012
1906-01-01,"AL",2045
1907-01-01,"AL",2058
1908-01-01,"AL",2070
1909-01-01,"AL",2108
1910-01-01,"AL",2150
1911-01-01,"AL",2185
1912-01-01,"AL",2217
1913-01-01,"AL",2279
1914-01-01,"AL",2336
1915-01-01,"AL",2345
1916-01-01,"AL",2359
1917-01-01,"AL",2361
1918-01-01,"AL",2343
1919-01-01,"AL",2337
1920-01-01,"AL",2359
1921-01-01,"AL",2402
1922-01-01,"AL",2434
1923-01-01,"AL",2464
1924-01-01,"AL",2501
1925-01-01,"AL",2534
1926-01-01,"AL",2567
1927-01-01,"AL",2609
1928-01-01,"AL",2640
1929-01-01,"AL",2644
1930-01-01,"AL",2647
1931-01-01,"AL",2649
1932-01-01,"AL",2653
1933-01-01,"AL",2661
1934-01-01,"AL",2685
1935-01-01,"AL",2719
1936-01-01,"AL",2743
1937-01-01,"AL",2762
1938-01-01,"AL",2787
1939-01-01,"AL",2814
1940-01-01,"AL",2845
1941-01-01,"AL",2902
1942-01-01,"AL",2941
1943-01-01,"AL",2902
1944-01-01,"AL",2802
1945-01-01,"AL",2775
1946-01-01,"AL",2911
1947-01-01,"AL",2942
1948-01-01,"AL",2969
1949-01-01,"AL",3000
1950-01-01,"AL",3058
1951-01-01,"AL",3059
1952-01-01,"AL",3068
1953-01-01,"AL",3053
1954-01-01,"AL",3014
1955-01-01,"AL",3050
1956-01-01,"AL",3071
1957-01-01,"AL",3109
1958-01-01,"AL",3163
1959-01-01,"AL",3204
1960-01-01,"AL",3274
1961-01-01,"AL",3316
1962-01-01,"AL",3323
1963-01-01,"AL",3358
1964-01-01,"AL",3395
1965-01-01,"AL",3443
1966-01-01,"AL",3464
1967-01-01,"AL",3458
1968-01-01,"AL",3446
1969-01-01,"AL",3440
1970-01-01,"AL",3444.354
1971-01-01,"AL",3497.076
1972-01-01,"AL",3539.4
1973-01-01,"AL",3579.78
1974-01-01,"AL",3626.499
1975-01-01,"AL",3678.814
1976-01-01,"AL",3735.139
1977-01-01,"AL",3780.403
1978-01-01,"AL",3831.836
1979-01-01,"AL",3866.248
1980-01-01,"AL",3900.368
1981-01-01,"AL",3918.531
1982-01-01,"AL",3925.266
1983-01-01,"AL",3934.102
1984-01-01,"AL",3951.82
1985-01-01,"AL",3972.523
1986-01-01,"AL",3991.569
1987-01-01,"AL",4015.264
1988-01-01,"AL",4023.844
1989-01-01,"AL",4030.222
1990-01-01,"AL",4048.508
1991-01-01,"AL",4091.025
1992-01-01,"AL",4139.269
1993-01-01,"AL",4193.114
1994-01-01,"AL",4232.965
1995-01-01,"AL",4262.731
1996-01-01,"AL",4290.403
1997-01-01,"AL",4320.281
1998-01-01,"AL",4351.037
1999-01-01,"AL",4369.862
2000-01-01,"AL",4452.173
2001-01-01,"AL",4467.634
2002-01-01,"AL",4480.089
2003-01-01,"AL",4503.491
2004-01-01,"AL",4530.729
2005-01-01,"AL",4569.805
2006-01-01,"AL",4628.981
2007-01-01,"AL",4672.84
2008-01-01,"AL",4718.206
2009-01-01,"AL",4757.938
2010-01-01,"AL",4785.514
2011-01-01,"AL",4799.642
2012-01-01,"AL",4816.632
2013-01-01,"AL",4831.586
2014-01-01,"AL",4843.737
2015-01-01,"AL",4854.803
2016-01-01,"AL",4866.824
2017-01-01,"AL",4877.989
2018-01-01,"AL",4891.628
2019-01-01,"AL",4907.965
2020-01-01,"AL",5033.094
2021-01-01,"AL",5049.196
2022-01-01,"AL",5076.181
2023-01-01,"AL",5117.673
2024-01-01,"AL",5157.699
1950-01-01,"AK",135
1951-01-01,"AK",158
1952-01-01,"AK",189
1953-01-01,"AK",205
1954-01-01,"AK",215
1955-01-01,"AK",222
1956-01-01,"AK",224
1957-01-01,"AK",231
1958-01-01,"AK",224
1959-01-01,"AK",224
1960-01-01,"AK",229
1961-01-01,"AK",238
1962-01-01,"AK",246
1963-01-01,"AK",256
1964-01-01,"AK",263
1965-01-01,"AK",271
1966-01-01,"AK",271
1967-01-01,"AK",278
1968-01-01,"AK",285
1969-01-01,"AK",296
1970-01-01,"AK",302.583
