"date","state","value"
2005-01-01,"AL",197246.5
2006-01-01,"AL",199923.9
2007-01-01,"AL",202025.5
2008-01-01,"AL",200967.5
2009-01-01,"AL",194192.1
2010-01-01,"AL",199455
2011-01-01,"AL",201372.9
2012-01-01,"AL",203675.5
2013-01-01,"AL",206962.9
2014-01-01,"AL",206070
2015-01-01,"AL",208950.3
2016-01-01,"AL",212862.8
2017-01-01,"AL",216615.5
2018-01-01,"AL",220808.8
2019-01-01,"AL",225272.8
2020-01-01,"AL",222288.8
2021-01-01,"AL",233726.6
2022-01-01,"AL",238556.5
2023-01-01,"AL",245354.7
2024-01-01,"AL",252664.6
2005-01-01,"AK",44406.8
2006-01-01,"AK",47546.2
2007-01-01,"AK",50126.8
2008-01-01,"AK",49926.6
2009-01-01,"AK",54952
2010-01-01,"AK",53652
2011-01-01,"AK",54045.4
2012-01-01,"AK",57087.4
2013-01-01,"AK",54627.7
2014-01-01,"AK",53303.3
2015-01-01,"AK",53681.1
2016-01-01,"AK",53463.9
2017-01-01,"AK",53550.9
2018-01-01,"AK",52479.6
2019-01-01,"AK",52377.5
2020-01-01,"AK",50332.8
2021-01-01,"AK",51454.2
2022-01-01,"AK",50767.1
2023-01-01,"AK",54059.7
2024-01-01,"AK",54881
2005-01-01,"AZ",283806.2
2006-01-01,"AZ",296424.4
2007-01-01,"AZ",306611.6
2008-01-01,"AZ",302277.9
2009-01-01,"AZ",277412.4
2010-01-01,"AZ",282252.4
2011-01-01,"AZ",290411.3
2012-01-01,"AZ",297077.2
2013-01-01,"AZ",298859.9
2014-01-01,"AZ",301721.2
2015-01-01,"AZ",308582.8
2016-01-01,"AZ",319008.4
2017-01-01,"AZ",333099
2018-01-01,"AZ",346398.3
2019-01-01,"AZ",359576.8
2020-01-01,"AZ",365027.7
2021-01-01,"AZ",395035.9
2022-01-01,"AZ",410228.5
2023-01-01,"AZ",422399.6
2024-01-01,"AZ",433763.2
2005-01-01,"AR",112451.1
2006-01-01,"AR",114890.4
2007-01-01,"AR",114026.7
2008-01-01,"AR",113628
2009-01-01,"AR",109833.1
2010-01-01,"AR",113000.9
2011-01-01,"AR",115241.8
2012-01-01,"AR",116616.2
2013-01-01,"AR",119842.8
2014-01-01,"AR",121409.4
2015-01-01,"AR",121532.5
2016-01-01,"AR",123034.9
2017-01-01,"AR",123882.6
2018-01-01,"AR",126371.3
2019-01-01,"AR",127220
2020-01-01,"AR",128340.9
2021-01-01,"AR",137463.6
2022-01-01,"AR",139560.7
2023-01-01,"AR",142860.6
2024-01-01,"AR",148208.5
2005-01-01,"CA",2042141
2006-01-01,"CA",2120435.4
2007-01-01,"CA",2168940.4
2008-01-01,"CA",2192331.8
2009-01-01,"CA",2110679.4
2010-01-01,"CA",2153852.8
2011-01-01,"CA",2192887.2
2012-01-01,"CA",2255437.3
2013-01-01,"CA",2340335.3
2014-01-01,"CA",2428675.7
2015-01-01,"CA",2545979.5
2016-01-01,"CA",2623711.7
2017-01-01,"CA",2740550.3
2018-01-01,"CA",2850970.3
2019-01-01,"CA",2969609
2020-01-01,"CA",2933320.2
2021-01-01,"CA",3154188.6
2022-01-01,"CA",3184007.8
2023-01-01,"CA",3248656.5
2024-01-01,"CA",3365083.3
2005-01-01,"CO",261992.9
2006-01-01,"CO",268190.8
2007-01-01,"CO",278733.8
2008-01-01,"CO",281803.3
2009-01-01,"CO",275659.1
2010-01-01,"CO",279385.6
2011-01-01,"CO",283963.8
2012-01-01,"CO",289339.6
2013-01-01,"CO",301484.2
2014-01-01,"CO",315399.1
2015-01-01,"CO",330526.2
2016-01-01,"CO",337685.2
2017-01-01,"CO",350209.1
2018-01-01,"CO",365204.5
2019-01-01,"CO",383725.7
2020-01-01,"CO",380188.8
2021-01-01,"CO",406451.9
2022-01-01,"CO",418818.8
2023-01-01,"CO",437056.1
2024-01-01,"CO",445302.4
2005-01-01,"CT",258203.7
