"date","state","value"
1976-01-01,"AL",6.7
1977-01-01,"AL",7.1
1978-01-01,"AL",6.5
1979-01-01,"AL",7.2
1980-01-01,"AL",8.7
1981-01-01,"AL",10.8
1982-01-01,"AL",13.8
1983-01-01,"AL",13.9
1984-01-01,"AL",11.4
1985-01-01,"AL",9.6
1986-01-01,"AL",9.5
1987-01-01,"AL",8.2
1988-01-01,"AL",7.3
1989-01-01,"AL",7
1990-01-01,"AL",6.8
1991-01-01,"AL",7.3
1992-01-01,"AL",7.5
1993-01-01,"AL",7.3
1994-01-01,"AL",6.2
1995-01-01,"AL",5.9
1996-01-01,"AL",5.2
1997-01-01,"AL",5
1998-01-01,"AL",4.5
1999-01-01,"AL",4.7
2000-01-01,"AL",4.6
2001-01-01,"AL",5.2
2002-01-01,"AL",5.9
2003-01-01,"AL",6
2004-01-01,"AL",5.6
2005-01-01,"AL",4.5
2006-01-01,"AL",4
2007-01-01,"AL",4.1
2008-01-01,"AL",5.9
2009-01-01,"AL",9.7
2010-01-01,"AL",10.4
2011-01-01,"AL",9.6
2012-01-01,"AL",8.2
2013-01-01,"AL",7.4
2014-01-01,"AL",6.8
2015-01-01,"AL",6.1
2016-01-01,"AL",5.8
2017-01-01,"AL",4.5
2018-01-01,"AL",3.9
2019-01-01,"AL",3.2
2020-01-01,"AL",6.4
2021-01-01,"AL",3.4
2022-01-01,"AL",2.5
2023-01-01,"AL",2.5
2024-01-01,"AL",3.1
2025-01-01,"AL",NA
1976-01-01,"AK",7.6
1977-01-01,"AK",9.8
1978-01-01,"AK",10.6
1979-01-01,"AK",9.1
1980-01-01,"AK",9.5
1981-01-01,"AK",9.2
1982-01-01,"AK",10
1983-01-01,"AK",10.1
1984-01-01,"AK",9.9
1985-01-01,"AK",9.8
1986-01-01,"AK",11
1987-01-01,"AK",10.2
1988-01-01,"AK",8.8
1989-01-01,"AK",7.1
1990-01-01,"AK",7.3
1991-01-01,"AK",8.3
1992-01-01,"AK",8.9
1993-01-01,"AK",7.8
1994-01-01,"AK",7.6
1995-01-01,"AK",7.3
1996-01-01,"AK",7.5
1997-01-01,"AK",7
1998-01-01,"AK",6.3
1999-01-01,"AK",6.4
2000-01-01,"AK",6.3
2001-01-01,"AK",6.3
2002-01-01,"AK",7.2
2003-01-01,"AK",7.7
2004-01-01,"AK",7.4
2005-01-01,"AK",6.9
2006-01-01,"AK",6.6
2007-01-01,"AK",6.3
2008-01-01,"AK",6.5
2009-01-01,"AK",7.8
2010-01-01,"AK",8
2011-01-01,"AK",7.6
2012-01-01,"AK",7.1
2013-01-01,"AK",6.9
2014-01-01,"AK",6.7
2015-01-01,"AK",6.3
2016-01-01,"AK",6.6
2017-01-01,"AK",6.6
2018-01-01,"AK",6.1
2019-01-01,"AK",5.6
2020-01-01,"AK",8.3
2021-01-01,"AK",6.4
2022-01-01,"AK",4.3
2023-01-01,"AK",4.2
2024-01-01,"AK",4.6
2025-01-01,"AK",NA
1976-01-01,"AZ",9.8
1977-01-01,"AZ",8.4
1978-01-01,"AZ",6
1979-01-01,"AZ",5.1
1980-01-01,"AZ",6.6
1981-01-01,"AZ",6.2
1982-01-01,"AZ",9.9
1983-01-01,"AZ",9.1
1984-01-01,"AZ",5
1985-01-01,"AZ",6.3
1986-01-01,"AZ",7
1987-01-01,"AZ",6.5
1988-01-01,"AZ",6.4
1989-01-01,"AZ",5.3
1990-01-01,"AZ",5.2
1991-01-01,"AZ",5.9
1992-01-01,"AZ",7.6
1993-01-01,"AZ",6.3
1994-01-01,"AZ",6.2
1995-01-01,"AZ",5.3
1996-01-01,"AZ",5.5
1997-01-01,"AZ",4.6
1998-01-01,"AZ",4.3
1999-01-01,"AZ",4.5
2000-01-01,"AZ",4
2001-01-01,"AZ",4.7
2002-01-01,"AZ",6.2
2003-01-01,"AZ",5.8
2004-01-01,"AZ",5
2005-01-01,"AZ",4.6
2006-01-01,"AZ",4.3
2007-01-01,"AZ",3.7
2008-01-01,"AZ",5.8
2009-01-01,"AZ",9.7
2010-01-01,"AZ",10.4
2011-01-01,"AZ",9.5
2012-01-01,"AZ",8.4
2013-01-01,"AZ",7.8
2014-01-01,"AZ",6.8
2015-01-01,"AZ",6.1
2016-01-01,"AZ",5.5
2017-01-01,"AZ",5
2018-01-01,"AZ",4.8
2019-01-01,"AZ",4.8
2020-01-01,"AZ",7.8
2021-01-01,"AZ",5
2022-01-01,"AZ",3.7
2023-01-01,"AZ",3.7
2024-01-01,"AZ",3.6
2025-01-01,"AZ",NA
1976-01-01,"AR",6.9
1977-01-01,"AR",6.5
1978-01-01,"AR",6.2
1979-01-01,"AR",6.3
1980-01-01,"AR",7.5
1981-01-01,"AR",8.6
1982-01-01,"AR",9.5
1983-01-01,"AR",9.7
1984-01-01,"AR",8.5
1985-01-01,"AR",8.5
1986-01-01,"AR",8.5
1987-01-01,"AR",8.1
1988-01-01,"AR",7.7
1989-01-01,"AR",7
1990-01-01,"AR",6.9
1991-01-01,"AR",7.3
1992-01-01,"AR",7
1993-01-01,"AR",6.1
1994-01-01,"AR",5.5
1995-01-01,"AR",4.9
1996-01-01,"AR",5.2
1997-01-01,"AR",5.1
1998-01-01,"AR",5
1999-01-01,"AR",4.5
2000-01-01,"AR",4.2
2001-01-01,"AR",4.7
2002-01-01,"AR",5.3
2003-01-01,"AR",5.8
2004-01-01,"AR",5.6
2005-01-01,"AR",5.3
2006-01-01,"AR",5.2
2007-01-01,"AR",5.4
2008-01-01,"AR",5.4
2009-01-01,"AR",7.7
2010-01-01,"AR",7.8
2011-01-01,"AR",7.9
2012-01-01,"AR",7.3
2013-01-01,"AR",7
2014-01-01,"AR",5.9
